user_id,game_name,week,mastery_level
1,Subitizing,1,1.0
1,Subitizing,2,1.0
1,Subitizing,3,1.0
1,Subitizing,4,1.0
1,Subitizing,5,1.0
1,Subitizing,6,1.0
1,Subitizing,7,1.0
1,Subitizing,12,1.0
1,Subitizing,13,1.0
1,Subitizing,14,1.0
1,Subitizing,15,1.0
1,Conversion,1,0.0
1,Conversion,2,0.3333333333333333
1,Conversion,3,0.5
1,Conversion,4,0.5
1,Conversion,5,0.5
1,Conversion,6,0.42857142857142855
1,Conversion,7,0.42857142857142855
1,Conversion,12,0.42857142857142855
1,Conversion,13,0.42857142857142855
1,Conversion,14,0.42857142857142855
1,Conversion,15,0.42857142857142855
1,Landing,1,0.0
1,Landing,2,0.0
1,Landing,3,0.0
1,Landing,4,0.0
1,Landing,5,0.0
1,Landing,6,0.0
1,Landing,7,0.0
1,Landing,12,0.1
1,Landing,13,0.18181818181818182
1,Landing,14,0.18181818181818182
1,Landing,15,0.21428571428571427
1,Comparison,1,0.0
1,Comparison,2,0.0
1,Comparison,3,0.0
1,Comparison,4,0.0
1,Comparison,5,0.0
1,Comparison,6,0.0
1,Comparison,7,0.2222222222222222
1,Comparison,12,0.2222222222222222
1,Comparison,13,0.2222222222222222
1,Comparison,14,0.2222222222222222
1,Comparison,15,0.2222222222222222
1,Estimation on Number Line,1,0.0
1,Estimation on Number Line,2,0.0
1,Estimation on Number Line,3,0.0
1,Estimation on Number Line,4,0.0
1,Estimation on Number Line,5,0.0
1,Estimation on Number Line,6,0.0
1,Estimation on Number Line,7,0.0
1,Estimation on Number Line,12,0.0
1,Estimation on Number Line,13,0.0
1,Estimation on Number Line,14,0.0
1,Estimation on Number Line,15,0.0
1,Distance,1,0.0
1,Distance,2,0.0
1,Distance,3,0.0
1,Distance,4,0.0
1,Distance,5,0.0
1,Distance,6,0.0
1,Distance,7,0.0
1,Distance,12,0.0
1,Distance,13,0.0
1,Distance,14,0.0
1,Distance,15,0.0
1,Sliderule,1,0.0
1,Sliderule,2,0.0
1,Sliderule,3,0.0
1,Sliderule,4,0.0
1,Sliderule,5,0.0
1,Sliderule,6,0.0
1,Sliderule,7,0.0
1,Sliderule,12,0.0
1,Sliderule,13,0.0
1,Sliderule,14,0.0
1,Sliderule,15,0.0
1,Order,1,0.0
1,Order,2,0.0
1,Order,3,0.0
1,Order,4,0.0
1,Order,5,0.0
1,Order,6,0.0
1,Order,7,0.0
1,Order,12,0.0
1,Order,13,0.0
1,Order,14,0.0
1,Order,15,0.0
1,Estimation,1,0.0
1,Estimation,2,0.0
1,Estimation,3,0.0
1,Estimation,4,0.0
1,Estimation,5,0.0
1,Estimation,6,0.0
1,Estimation,7,0.0
1,Estimation,12,0.0
1,Estimation,13,0.0
1,Estimation,14,0.0
1,Estimation,15,0.0
1,Calculator,1,0.0
1,Calculator,2,0.0
1,Calculator,3,0.0
1,Calculator,4,0.0
1,Calculator,5,0.0
1,Calculator,6,0.0
1,Calculator,7,0.0
1,Calculator,12,0.0
1,Calculator,13,0.0
1,Calculator,14,0.0
1,Calculator,15,0.0
1,Plus-minus,1,0.0
1,Plus-minus,2,0.0
1,Plus-minus,3,0.0
1,Plus-minus,4,0.0
1,Plus-minus,5,0.0
1,Plus-minus,6,0.0
1,Plus-minus,7,0.0
1,Plus-minus,12,0.0
1,Plus-minus,13,0.0
1,Plus-minus,14,0.0
1,Plus-minus,15,0.0
1,Scale: Decomposition,1,0.0
1,Scale: Decomposition,2,0.0
1,Scale: Decomposition,3,0.0
1,Scale: Decomposition,4,0.0
1,Scale: Decomposition,5,0.0
1,Scale: Decomposition,6,0.0
1,Scale: Decomposition,7,0.0
1,Scale: Decomposition,12,0.0
1,Scale: Decomposition,13,0.0
1,Scale: Decomposition,14,0.0
1,Scale: Decomposition,15,0.0
1,Secret Number,1,0.0
1,Secret Number,2,0.0
1,Secret Number,3,0.0
1,Secret Number,4,0.0
1,Secret Number,5,0.0
1,Secret Number,6,0.0
1,Secret Number,7,0.0
1,Secret Number,12,0.0
1,Secret Number,13,0.0
1,Secret Number,14,0.0
1,Secret Number,15,0.0
1,Distribution,1,0.0
1,Distribution,2,0.0
1,Distribution,3,0.0
1,Distribution,4,0.0
1,Distribution,5,0.0
1,Distribution,6,0.0
1,Distribution,7,0.0
1,Distribution,12,0.0
1,Distribution,13,0.0
1,Distribution,14,0.0
1,Distribution,15,0.0
1,Completion,1,0.0
1,Completion,2,0.0
1,Completion,3,0.0
1,Completion,4,0.0
1,Completion,5,0.0
1,Completion,6,0.0
1,Completion,7,0.0
1,Completion,12,0.0
1,Completion,13,0.0
1,Completion,14,0.0
1,Completion,15,0.0
1,Write as multiplication,1,0.0
1,Write as multiplication,2,0.0
1,Write as multiplication,3,0.0
1,Write as multiplication,4,0.0
1,Write as multiplication,5,0.0
1,Write as multiplication,6,0.0
1,Write as multiplication,7,0.0
1,Write as multiplication,12,0.0
1,Write as multiplication,13,0.0
1,Write as multiplication,14,0.0
1,Write as multiplication,15,0.0
1,Series,1,0.0
1,Series,2,0.0
1,Series,3,0.0
1,Series,4,0.0
